# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	246674
#@/user_id	b6ca52f1-d1be-4cc2-9d07-aa8b3716d1d6
a 	吖	c=1 d=3.14571e-306 t=246674
you ku 	優酷	c=1 d=1.79789e-254 t=246674
you kun 	又困	c=1 d=8.69577e-239 t=246674
you lai 	又來	c=7 d=2.56683e-16 t=246674
you lai 	由來	c=1 d=1.79342e-166 t=246674
you lai le 	又來了	c=7 d=1.19901e-47 t=246674
you lao shi 	有老師	c=1 d=1 t=178344
you le 	有了	c=11 d=1.28928e-11 t=246674
you le yuan 	遊樂園	c=1 d=1 t=186234
you lei 	又累	c=1 d=8.73936e-239 t=246674
you lei bie 	有類別	c=2 d=1 t=160089
you li 	有力	c=1 d=5.42996e-170 t=246674
you li liang 	有力量	c=1 d=1 t=216268
you li liang gan 	有力量感	c=1 d=1.2176e-169 t=246674
you li zi 	有例子	c=1 d=1 t=149060
you lian 	友鏈	c=5 d=2.12295e-172 t=246674
you lian jie 	右連接	c=1 d=1 t=183521
you liang 	有兩	c=0 d=0.1 t=183931
you liang ge 	有兩個	c=7 d=3.57311e-11 t=246674
you liang hao 	有良好	c=1 d=1 t=238550
you liang jia 	有兩家	c=1 d=1 t=193477
you liang lie 	有兩列	c=1 d=1 t=183932
you liang zhong 	有兩種	c=8 d=1.38229e-44 t=246674
you lie 	優劣	c=1 d=1 t=166096
you lu 	有路	c=1 d=1 t=159956
you lu you 	有路由	c=1 d=1 t=202606
you lun 	遊輪	c=1 d=8.43009e-80 t=246674
you ma 	有嗎	c=10 d=4.38981e-21 t=246674
you mao bing 	有毛病	c=1 d=1 t=232819
you mao dun 	有矛盾	c=1 d=1 t=197462
you mei 	又沒	c=2 d=7.00867e-84 t=246674
you mei you 	有沒有	c=169 d=3.35558e-06 t=246674
you mei you ke neng 	有沒有可能	c=1 d=3.06456e-87 t=246674
you mei you ren 	有沒有人	c=1 d=1 t=246003
you mi ma 	有密碼	c=1 d=1 t=203726
you ming 	有名	c=1 d=1 t=242039
you na ge 	有那個	c=1 d=1 t=180931
you na ji zhong 	有哪幾種	c=1 d=1 t=181682
you na me 	有那麼	c=1 d=1 t=199172
you na me duo 	有那麼多	c=1 d=1 t=174112
you na xie 	有哪些	c=22 d=0.0042963 t=246674
you nan du 	有難度	c=1 d=1.22112e-56 t=246674
you nei tui 	有內推	c=1 d=1 t=239100
you neng li 	有能力	c=2 d=1.81291e-58 t=246674
you ni 	有你	c=1 d=1.39151e-269 t=246674
you ni 	油膩	c=0 d=0.1 t=186191
you ni nan 	油膩男	c=1 d=1 t=186192
you pa 	又怕	c=2 d=6.57888e-103 t=246674
you qi 	尤其	c=4 d=9.44815e-39 t=246674
you qi shi 	尤其是	c=7 d=1.11222e-16 t=246674
you qi ta 	有其他	c=1 d=1.20736e-11 t=246674
you qian 	有錢	c=11 d=8.55077e-12 t=246674
you qian ren 	有錢人	c=1 d=1.3924e-159 t=246674
you qian ya 	有錢呀	c=1 d=1.30009e-293 t=246674
you qie 	有且	c=1 d=1 t=142617
you qin qi 	有親戚	c=1 d=1 t=195850
you qu 	有趣	c=5 d=1.39638e-75 t=246674
you qu bie 	有區別	c=1 d=1.74884e-164 t=246674
you qu wu hui 	有去无回	c=1 d=1 t=149890
you quan li 	有權利	c=1 d=7.0669e-240 t=246674
you quan xian 	有權限	c=2 d=6.69208e-99 t=246674
you que dian 	優缺點	c=25 d=2.14119e-64 t=246674
you qun 	有羣	c=1 d=8.57207e-100 t=246674
you re qing 	有熱情	c=1 d=6.36034e-236 t=246674
you ren 	友人	c=2 d=9.64895e-161 t=246674
you ren 	有人	c=47 d=7.00793e-24 t=246674
you ri zhi 	有日誌	c=1 d=1.59778e-160 t=246674
you ru xia 	有如下	c=1 d=1 t=177808
you san ge 	有三個	c=1 d=2.96035e-33 t=246674
you san zhong 	有三種	c=4 d=1.08182e-131 t=246674
you sha 	有啥	c=19 d=7.92726e-33 t=246674
you sha ma 	有啥嗎	c=1 d=1 t=185626
you sha yong 	有啥用	c=4 d=5.8018e-96 t=246674
you shang 	右上	c=1 d=1.12277e-215 t=246674
you shang jiao 	右上角	c=3 d=4.15958e-93 t=246674
you shen me 	有什麼	c=93 d=3.37202e-06 t=246674
you shen me qu bie 	有什麼區別	c=4 d=2.40281e-78 t=246674
you shen me yong 	有什麼用	c=5 d=7.03684e-43 t=246674
you shen me yu yan 	有什麼語言	c=1 d=1 t=217383
you sheng 	又生	c=0 d=0.1 t=232226
you sheng yi ge 	又生一個	c=1 d=1 t=232227
you sheng zhi nian 	有生之年	c=1 d=1.38636e-196 t=246674
you shi 	優勢	c=6 d=1.42148e-20 t=246674
you shi 	又是	c=22 d=8.47151e-07 t=246674
you shi 	有事	c=7 d=1.09869e-19 t=246674
you shi 	有時	c=7 d=1.93177e-11 t=246674
you shi chang 	有市場	c=1 d=1 t=188513
you shi hou 	有時候	c=55 d=0.683861 t=246674
you shi jian 	有時間	c=6 d=2.32031e-20 t=246674
you shi shen me 	又是什麼	c=1 d=5.47661e-182 t=246674
you shi tang 	有食堂	c=1 d=1 t=242061
you shu 	有書	c=1 d=1 t=149223
you shuo 	又說	c=2 d=1.12616e-133 t=246674
you shuo 	有說	c=1 d=3.99243e-228 t=246674
you si kao 	有思考	c=1 d=1 t=216676
you si lu 	有思路	c=1 d=0.00458484 t=246674
you sun 	有損	c=1 d=3.26005e-138 t=246674
you suo 	有所	c=1 d=4.70621e-75 t=246674
you tai duo 	有太多	c=1 d=2.90757e-86 t=246674
you tan 	有談	c=0 d=0.1 t=161643
you tan ma 	有談嗎	c=1 d=1 t=161644
you te shu 	有特殊	c=1 d=7.69485e-124 t=246674
you ti cheng 	有提成	c=1 d=1.78782e-188 t=246674
you ti shi 	有提示	c=1 d=1 t=228285
you tiao 	有條	c=2 d=0.197542 t=246674
you tiao jian 	有條件	c=2 d=2.11041e-169 t=246674
you tong yi 	有統一	c=1 d=1 t=227177
you wai tao 	有外套	c=1 d=1.84145e-124 t=246674
you wan 	有玩	c=1 d=6.6343e-144 t=246674
you wen hua 	有文化	c=2 d=8.57124e-187 t=246674
you wen ti 	有問題	c=57 d=0.00173109 t=246674
you wo 	有我	c=1 d=1 t=196643
you wo 	由我	c=1 d=0.00202943 t=246674
you wu 	有无	c=7 d=1.1814 t=210629
you wu 	有誤	c=5 d=5.13196e-182 t=246674
you xi 	由希	c=1 d=1.47881e-279 t=246674
you xi 	遊戲	c=101 d=0.13332 t=246674
you xi fu wu duan 	遊戲服務端	c=1 d=1 t=187035
you xi kai fa 	遊戲開發	c=1 d=1 t=202196
you xi ke hu duan 	遊戲客戶端	c=2 d=1 t=215831
you xi shi chang 	遊戲時長	c=2 d=1.91851 t=200365
you xi wang 	有希望	c=2 d=1.37676e-85 t=246674
you xi wang 	遊戲王	c=40 d=4.58313e-28 t=246674
you xi zhong 	遊戲中	c=1 d=1.0145e-81 t=246674
you xia jiao 	右下角	c=1 d=4.058e-155 t=246674
you xia mian 	有下面	c=1 d=1 t=219131
you xian 	優先	c=16 d=1.7558e-05 t=246674
you xian 	有線	c=10 d=1.76359e-57 t=246674
you xian 	有閒	c=0 d=2.30547e-210 t=246674
you xian 	有限	c=6 d=2.41837e-07 t=246674
you xian cheng 	有現成	c=1 d=3.63753e-221 t=246674
you xian gong si 	有限公司	c=3 d=1 t=209084
you xian ji 	優先級	c=43 d=5.32653e-05 t=246674
you xian xin 	有閒心	c=1 d=2.31703e-209 t=246674
you xian zhi 	有限制	c=1 d=1 t=243386
you xiang 	又想	c=6 d=7.69011e-58 t=246674
you xiang 	有想	c=1 d=8.65675e-98 t=246674
you xiang 	郵箱	c=50 d=1.60363e-11 t=246674
you xiang fa 	有想法	c=1 d=1.48868e-34 t=246674
you xiang mu 	有項目	c=2 d=1 t=241460
you xiang tu 	有向圖	c=5 d=3.2638e-34 t=246674
you xiao 	幼小	c=2 d=4.59842e-144 t=246674
you xiao 	有效	c=30 d=5.53991e-08 t=246674
you xiao de 	有效地	c=1 d=5.5461e-07 t=246674
you xiao de 	有效的	c=2 d=7.18468e-11 t=246674
you xiao xing 	有效性	c=3 d=1 t=196614
you xiao yu 	有效域	c=3 d=2.48539 t=162263
you xiao zhi 	有效值	c=1 d=1 t=143377
you xie 	有些	c=89 d=0.00335619 t=246674
you xie 	有寫	c=3 d=0.00101284 t=246674
you xie hua 	有些話	c=1 d=1.21042e-217 t=246674
you xie ren 	有些人	c=14 d=1.28202e-11 t=246674
you xie xu 	有些許	c=1 d=6.50051e-169 t=246674
you xin 	有辛	c=1 d=2.09645e-91 t=246674
you xin si 	有心思	c=1 d=7.94708e-268 t=246674
you xing 	有幸	c=1 d=1 t=195188
you xing qu 	有興趣	c=3 d=1.71712e-37 t=246674
you xiu 	優秀	c=32 d=1.89577e-25 t=246674
you xiu de 	優秀的	c=1 d=1 t=167676
you xiu gan bu 	優秀幹部	c=6 d=1.58567 t=228685
you xiu shi fu 	有修飾符	c=1 d=1 t=203527
you xu 	有序	c=6 d=1.34098e-40 t=246674
you xu duo 	有許多	c=2 d=1 t=196180
you xu lian biao 	有序鏈表	c=1 d=1.35453e-305 t=246674
you xu yao 	有需要	c=3 d=5.24986e-67 t=246674
you xuan 	優選	c=6 d=1.00001 t=161465
you ya 	優雅	c=4 d=1.78811e-43 t=246674
you yang 	悠揚	c=1 d=5.40882e-65 t=246674
you yao 	又要	c=19 d=1.60185e-06 t=246674
you yao qiu 	有要求	c=2 d=3.39378e-111 t=246674
you yao shuo 	又要說	c=1 d=6.89661e-159 t=246674
you yi 	優異	c=1 d=1 t=239584
you yi 	有一	c=4 d=8.26088e-18 t=246674
you yi 	有益	c=1 d=4.87332e-15 t=246674
you yi ban 	有一半	c=1 d=1 t=163732
you yi bu 	有一步	c=1 d=1.89642e-29 t=246674
you yi ci 	有一次	c=6 d=1.13787e-85 t=246674
you yi dao 	有一道	c=1 d=2.72053e-186 t=246674
you yi dao ti 	有一道題	c=1 d=1 t=212820
you yi dian 	有一點	c=1 d=2.15641e-158 t=246674
you yi ding 	有一定	c=2 d=6.71576e-23 t=246674
you yi duan 	有一段	c=3 d=3.45517e-116 t=246674
you yi fen 	有一份	c=1 d=1 t=225076
you yi ge 	又一個	c=1 d=1.79543e-91 t=246674
you yi ge 	有一個	c=79 d=6.27063e-08 t=246674
you yi ge yue 	有一個月	c=1 d=3.91468e-85 t=246674
you yi hui 	有一會	c=1 d=3.6104e-133 t=246674
you yi li 	有毅力	c=1 d=1 t=236298
you yi si 	有意思	c=8 d=3.54106e-52 t=246674
you yi tai 	有一臺	c=1 d=1 t=225487
you yi tian 	有一天	c=3 d=0.000645813 t=246674
you yi xi lie 	由一系列	c=1 d=1 t=142141
you yi xia 	有以下	c=4 d=5.4669e-73 t=246674
you yi xiang 	有一項	c=1 d=1.3806e-59 t=246674
you yi xie 	有一些	c=6 d=7.06323e-87 t=246674
you yi xie geng fu za de 	有一些更複雜的	c=1 d=1 t=191649
you yi yi 	有意義	c=2 d=8.50812e-12 t=246674
you yi zhang 	有一張	c=3 d=1 t=230313
you yi zhong 	有一種	c=4 d=1.07131e-75 t=246674
you yong 	有用	c=19 d=2.01026e-09 t=246674
you yong 	游泳	c=1 d=4.66255e-83 t=246674
you yong guo 	有用過	c=1 d=1 t=240164
you you 	又有	c=0 d=0.1 t=195182
you you dian 	又有點	c=1 d=1 t=233356
you you hui 	有優惠	c=1 d=6.13218e-218 t=246674
you you you you 	叕	c=6 d=4.90226e-241 t=246674
you yu 	優於	c=11 d=1.00002 t=161351
you yu 	猶豫	c=1 d=1 t=242198
you yu 	由於	c=97 d=3.89166e-09 t=246674
you yu lu you 	優於路由	c=1 d=1 t=158739
you zai 	又在	c=2 d=2.12013e-223 t=246674
you zai 	有在	c=1 d=0.131994 t=246674
you ze ren xin 	有責任心	c=1 d=1 t=151473
you zhan xie cheng 	有棧協程	c=1 d=1.87851e-35 t=246674
you zhang hao 	有賬號	c=1 d=1 t=174663
you zhao yi ri 	有朝一日	c=1 d=1 t=195115
you zhe 	有着	c=0 d=0.1 t=237144
you zhe dong xi 	有這東西	c=1 d=1 t=144453
you zhe ge 	有這個	c=4 d=1.36255e-110 t=246674
you zhe me 	有這麼	c=3 d=2.04273e-21 t=246674
you zhe ne 	有着呢	c=1 d=1 t=237145
you zhe xie 	有這些	c=2 d=1.19239e-70 t=246674
you zhe yang 	有這樣	c=1 d=1 t=220790
you zhe zhong 	有這種	c=1 d=1 t=214023
you zheng 	郵政	c=8 d=3.80997e-22 t=246674
you zhi fu wu 	優質服務	c=1 d=1 t=197492
you zhong 	有種	c=4 d=4.10084e-14 t=246674
you zhong ji 	有中繼	c=1 d=1.13231e-197 t=246674
you zhu dian 	有註點	c=1 d=1 t=181860
you zhu jie 	有註解	c=1 d=1.88479e-133 t=246674
you zhu yu 	有助於	c=0 d=0.1 t=150699
you zhu yu bao zheng 	有助於保證	c=1 d=1 t=150700
you zhuang tai 	有狀態	c=2 d=1.91705e-68 t=246674
yu 	予	c=1 d=1 t=170862
yu 	域	c=34 d=2.82466e-14 t=246674
yu 	宇	c=3 d=6.32082e-104 t=246674
yu 	愚	c=0 d=0.1 t=233660
yu 	於	c=100 d=1.18459 t=246674
yu 	玉	c=4 d=1.26258e-92 t=246674
yu 	羽	c=1 d=1 t=206331
yu 	育	c=3 d=1 t=214658
yu 	與	c=294 d=1.77161 t=246674
yu 	語	c=0 d=7.55815e-120 t=246674
yu 	鈺	c=1 d=1.43101e-216 t=246674
yu 	雨	c=10 d=0.0173355 t=246674
yu 	預	c=0 d=3.07501e-128 t=246674
yu an 	愚安	c=10 d=1.00162 t=245866
yu an 	預案	c=2 d=1 t=233983
yu an ke ji 	愚安科技	c=9 d=1 t=244113
yu bei er 	于貝爾	c=1 d=1 t=193617
yu bian yi 	預編譯	c=3 d=2.51049e-35 t=246674
yu ce 	預測	c=4 d=3.90155e-37 t=246674
yu chao 	於超	c=1 d=0.1 t=227959
yu chu li 	預處理	c=4 d=7.14319e-44 t=246674
yu chu li qi 	預處理器	c=1 d=7.17899e-43 t=246674
yu chun 	愚蠢	c=1 d=1 t=225353
yu ci 	與此	c=1 d=8.2449e-54 t=246674
yu ci 	餘次	c=2 d=3.36034e-24 t=246674
yu da shu ju 	與大數據	c=15 d=1.00016 t=245859
yu dao 	遇到	c=86 d=5.62329e-14 t=246674
yu dao guo 	遇到過	c=3 d=2.54922e-68 t=246674
yu dao sha 	遇到啥	c=1 d=7.53943e-178 t=246674
yu di 	餘地	c=1 d=0.000269215 t=246674
yu di ke si 	愚地克巳	c=1 d=7.7256e-259 t=246674
yu ding 	預訂	c=1 d=1 t=233314
yu e 	餘額	c=17 d=2.51597e-93 t=246674
yu e a 	餘額啊	c=1 d=1.03605e-93 t=246674
yu fa 	語法	c=58 d=1.45785 t=246674
yu fa lei si 	語法類似	c=1 d=2.39979e-122 t=246674
yu fa shu 	語法樹	c=4 d=7.46107e-53 t=246674
yu fang 	預防	c=6 d=3.33506e-108 t=246674
yu fou 	與否	c=1 d=1 t=202617
yu fu 	与父	c=0 d=0.1 t=146717
yu fu mo kuai 	与父模塊	c=1 d=1 t=146718
yu gan 	預感	c=1 d=4.12139e-14 t=246674
yu gang gang 	與剛剛	c=1 d=1 t=143041
yu ge 	餘個	c=1 d=1.24088e-39 t=246674
yu gu 	魚骨	c=1 d=9.35968e-281 t=246674
yu huan cun 	域緩存	c=1 d=1 t=168310
yu ji 	預計	c=3 d=1.51432e-29 t=246674
yu ji shu 	與技術	c=17 d=0.0617291 t=246674
yu jian 	域間	c=2 d=1.75578 t=157277
yu jian 	遇見	c=1 d=5.22516e-276 t=246674
yu jie 	御姐	c=6 d=1.48894e-250 t=246674
yu ju 	語句	c=73 d=0.501576 t=246674
yu ju shang 	語句上	c=1 d=1 t=230081
yu ju shi 	語句時	c=1 d=4.66875e-128 t=246674
yu ju wen jian 	語句文件	c=1 d=5.95152e-131 t=246674
yu ju yi yang 	語句一樣	c=1 d=1 t=143180
yu ke hu duan 	與客戶端	c=1 d=1 t=153104
yu kong 	域控	c=13 d=1.70469 t=240341
yu lan 	預覽	c=20 d=8.98296e-27 t=246674
yu lan shi 	預覽時	c=1 d=8.5444e-62 t=246674
yu lan zhong 	預覽中	c=2 d=1.37856e-61 t=246674
yu le 	娛樂	c=4 d=3.208e-37 t=246674
yu le shou duan 	娛樂手段	c=1 d=1 t=198883
yu liang 	宇亮	c=1 d=8.62328e-170 t=246674
yu liu 	預留	c=4 d=7.63355e-30 t=246674
yu liu 	餘留	c=1 d=1.21641e-275 t=246674
yu ming 	域名	c=108 d=0.363902 t=246674
yu ming cha xun 	域名查詢	c=1 d=1 t=214542
yu ming jie xi 	域名解析	c=1 d=1.57607e-58 t=246674
yu nei 	域內	c=4 d=1.07427 t=169020
yu ni 	與你	c=1 d=0.00192083 t=246674
yu nie 	餘孽	c=2 d=2.62339e-216 t=246674
yu qi 	語氣	c=9 d=1.4117e-27 t=246674
yu qi 	預期	c=13 d=0.193013 t=246674
yu qi dong 	預啓動	c=1 d=1 t=150866
yu ren 	與人	c=3 d=5.91599e-90 t=246674
yu ren zheng 	與認證	c=1 d=1 t=153446
yu rong fu 	羽絨服	c=1 d=1.46967e-118 t=246674
yu she 	預設	c=2 d=8.52579e-07 t=246674
yu shi 	於是	c=95 d=5.07307e-17 t=246674
yu suan 	預算	c=4 d=6.01134e-131 t=246674
yu ta 	與他	c=2 d=4.80505e-143 t=246674
yu tong shi 	與同事	c=1 d=1 t=196830
yu wai 	域外	c=4 d=2.05328 t=157452
yu wai lu you 	域外路由	c=1 d=1 t=157453
yu wang 	慾望	c=1 d=1 t=216265
yu wen 	語文	c=1 d=1 t=158387
yu wo 	與我	c=4 d=2.95202e-88 t=246674
yu xi 	玉璽	c=1 d=1.58959e-129 t=246674
yu xian 	預先	c=0 d=5.69134e-18 t=246674
yu xian cun zai 	預先存在	c=1 d=5.71987e-17 t=246674
yu xin 	宇信	c=1 d=1 t=211045
yu xue 	淤血	c=1 d=1 t=221381
yu yan 	語言	c=154 d=0.301194 t=246674
yu yan 	預言	c=1 d=9.3402e-139 t=246674
yu yan ji 	語言級	c=1 d=1 t=217256
yu yan zhong 	語言中	c=1 d=1 t=143655
yu yi 	寓意	c=1 d=4.61414e-166 t=246674
yu yi 	語義	c=1 d=4.56353e-07 t=246674
yu yi hua 	語義化	c=4 d=2.42977e-121 t=246674
yu yin 	語音	c=6 d=2.89227e-24 t=246674
yu yong 	御用	c=1 d=3.9022e-165 t=246674
yu yue 	愉悅	c=1 d=1.44269e-194 t=246674
yu ze 	雨择	c=0 d=0.1 t=178581
yu ze che 	雨择車	c=1 d=1 t=178582
yu ze chuan 	於澤川	c=6 d=3.61974e-134 t=246674
yu zhi 	與之	c=1 d=1 t=238428
yu zhi 	預置	c=0 d=2.5829e-47 t=246674
yu zhi ru 	預置入	c=1 d=2.59585e-46 t=246674
yu zhong ji qi 	與中繼器	c=1 d=1.43227e-197 t=246674
yu zhou 	宇宙	c=3 d=3.09766e-37 t=246674
yuan 	元	c=18 d=7.14099e-10 t=246674
yuan 	原	c=6 d=3.79264e-36 t=246674
yuan 	員	c=25 d=0.0152985 t=246674
yuan 	園	c=3 d=3.72569e-132 t=246674
yuan 	圓	c=3 d=2.5372e-130 t=246674
yuan 	源	c=61 d=1.14357e-11 t=246674
yuan 	遠	c=8 d=5.75246e-25 t=246674
yuan 	願	c=1 d=2.45234e-24 t=246674
yuan ban 	原版	c=1 d=9.55487e-171 t=246674
yuan ben 	原本	c=15 d=1.31649e-29 t=246674
yuan cai liao 	原材料	c=2 d=5.95271e-15 t=246674
yuan chao 	遠超	c=3 d=1 t=241473
yuan cheng 	遠程	c=28 d=4.99329e-07 t=246674
yuan cheng fu wu 	遠程服務	c=0 d=2.50982e-121 t=246674
yuan cheng fu wu qi 	遠程服務器	c=1 d=2.5224e-120 t=246674
yuan chuang 	原創	c=9 d=1.35385e-197 t=246674
yuan da yu 	遠大於	c=1 d=1 t=150359
yuan dai ma 	源代碼	c=7 d=1.54476e-116 t=246674
yuan dan 	元旦	c=1 d=4.10453e-290 t=246674
yuan dan zhi qian 	元旦之前	c=1 d=4.12511e-289 t=246674
yuan di ta bu 	原地踏步	c=1 d=4.91461e-26 t=246674
yuan dian 	原點	c=1 d=1 t=186992
yuan fen 	緣分	c=1 d=5.20243e-166 t=246674
yuan feng 	原封	c=1 d=1 t=220425
yuan feng bu dong 	原封不动	c=1 d=1 t=192391
yuan gong 	員工	c=7 d=9.31095e-14 t=246674
yuan gu 	緣故	c=9 d=3.18691e-77 t=246674
yuan gu 	遠古	c=1 d=7.88594e-236 t=246674
yuan ju li 	遠距離	c=1 d=1 t=153307
yuan kong 	遠控	c=2 d=1.93239 t=174454
yuan kuo hao 	圓括號	c=3 d=1.84789 t=179324
yuan lai 	原來	c=56 d=0.909066 t=246674
yuan lai guang 	源賴光	c=1 d=1.868e-116 t=246674
yuan lai shi 	原來是	c=10 d=1.70705e-56 t=246674
yuan lei xing 	元類型	c=1 d=5.65746e-270 t=246674
yuan li 	原理	c=79 d=1.43435 t=246674
yuan li 	遠離	c=1 d=1 t=156761
yuan liao 	原料	c=2 d=4.4786e-81 t=246674
yuan ma 	源碼	c=112 d=2.08116e-05 t=246674
yuan mou 	元謀	c=1 d=1 t=192273
yuan na 	員那	c=1 d=6.4002e-45 t=246674
yuan qi 	怨氣	c=1 d=1.08869e-176 t=246674
yuan qi 	源起	c=1 d=4.37168e-178 t=246674
yuan qi jian 	元器件	c=1 d=4.64735e-74 t=246674
yuan shen 	原神	c=4 d=6.96422e-68 t=246674
yuan sheng 	原生	c=15 d=8.01537e-16 t=246674
yuan shi 	原始	c=17 d=3.03671e-08 t=246674
yuan shi 	原時	c=0 d=7.50663e-69 t=246674
yuan shi dui xiang 	原時對象	c=1 d=7.54425e-68 t=246674
yuan shu 	源數	c=3 d=2.07192e-129 t=246674
yuan shu ju 	元數據	c=8 d=0.00332928 t=246674
yuan shu ju 	原數據	c=1 d=2.40897e-255 t=246674
yuan su 	元素	c=117 d=9.50565e-07 t=246674
yuan su de 	元素的	c=0 d=7.18167e-19 t=246674
yuan su hou 	元素後	c=1 d=8.85987e-18 t=246674
yuan tou 	源頭	c=3 d=2.95412e-67 t=246674
yuan tu 	原圖	c=1 d=8.50647e-186 t=246674
yuan wen 	原文	c=1 d=1 t=179521
yuan wen 	愿文	c=1 d=1 t=179520
yuan wen jian 	源文件	c=2 d=1 t=204165
yuan xing 	原型	c=3 d=3.15198e-65 t=246674
yuan xing lian 	原型鏈	c=4 d=1 t=222547
yuan xing mo shi 	原型模式	c=1 d=2.22268e-73 t=246674
yuan yan 	怨言	c=1 d=1.3364e-176 t=246674
yuan yang 	原樣	c=2 d=5.44507e-124 t=246674
yuan yi 	願意	c=5 d=3.53097e-136 t=246674
yuan yin 	原因	c=85 d=1.94755e-11 t=246674
yuan yin shi 	原因是	c=1 d=1 t=147794
yuan you 	原有	c=9 d=6.25641e-13 t=246674
yuan you 	緣由	c=1 d=4.06672e-239 t=246674
yuan yuan 	媛媛	c=1 d=1.08088e-297 t=246674
yuan yuan 	遠遠	c=1 d=1 t=211676
yuan ze 	原則	c=29 d=2.80288e-37 t=246674
yuan ze de 	原則的	c=1 d=1 t=142055
yuan ze xing 	原則性	c=2 d=1.01804 t=197420
yuan zhan 	源站	c=2 d=4.611e-158 t=246674
yuan zhang 	院長	c=1 d=7.37303e-92 t=246674
yuan zheng 	圓整	c=0 d=3.08237e-303 t=246674
yuan zhong duan 	源終端	c=1 d=1 t=154288
yuan zhu jie 	元註解	c=1 d=3.699e-36 t=246674
yuan zhuang 	原裝	c=1 d=1.20287e-261 t=246674
yuan zi jie 	源字節	c=1 d=1 t=173520
yuan zi xing 	原子性	c=2 d=8.03586e-46 t=246674
yuan zu 	元組	c=17 d=3.8567 t=144163
yuan zu 	原足	c=2 d=1.00065 t=143273
yue 	岳	c=1 d=2.22232e-219 t=246674
yue 	悅	c=1 d=0.1 t=233092
yue 	月	c=46 d=0.105322 t=246674
yue 	約	c=3 d=4.41332e-25 t=246674
yue 	越	c=7 d=1.26465e-27 t=246674
yue bing 	月餅	c=2 d=1.96079 t=246478
yue chang 	越長	c=2 d=1.94714e-16 t=246674
yue chu 	月出	c=0 d=0.1 t=211301
yue da 	越大	c=1 d=1.05957e-63 t=246674
yue deng yu 	約等於	c=1 d=1 t=163847
yue di 	月底	c=2 d=9.94472e-24 t=246674
yue ding 	約定	c=5 d=3.9379e-37 t=246674
yue du 	閱讀	c=17 d=3.49072e-61 t=246674
yue du xin dei 	閱讀心得	c=1 d=5.05383e-178 t=246674
yue duo 	越多	c=3 d=1.13388e-37 t=246674
yue e xin 	越噁心	c=1 d=2.1076e-124 t=246674
yue gao 	越高	c=3 d=1.00459e-246 t=246674
yue ge di fang 	約個地方	c=1 d=8.46747e-132 t=246674
yue hao 	約好	c=1 d=3.48551e-160 t=246674
yue hao 	越好	c=2 d=1 t=166881
yue jie 	越界	c=7 d=9.78898e-91 t=246674
yue jie shi 	越界時	c=1 d=1 t=147321
yue ka 	月卡	c=1 d=1 t=200299
yue ka le 	越卡了	c=1 d=2.51768e-98 t=246674
yue ku 	月庫	c=1 d=1 t=197652
yue lai 	越來	c=5 d=1.25207e-27 t=246674
yue lai yue 	越來越	c=1 d=8.70395e-15 t=246674
yue lai yue gao 	越來越高	c=1 d=9.99393e-82 t=246674
yue lai yue nan 	越來越難	c=1 d=1 t=195373
yue le 	約了	c=1 d=7.84012e-50 t=246674
yue li 	閱歷	c=4 d=1.00816 t=199932
yue li qian 	閱歷淺	c=1 d=1 t=194687
yue liang 	月亮	c=1 d=1.37891e-74 t=246674
yue man 	越慢	c=1 d=2.1781e-305 t=246674
yue pao 	月拋	c=1 d=1 t=164922
yue pao 	越跑	c=1 d=1.04379e-63 t=246674
yue pu 	樂譜	c=2 d=1.20819e-166 t=246674
yue qi 	樂器	c=18 d=1.12807e-06 t=246674
yue qu 	約去	c=1 d=1 t=185767
yue quan 	越權	c=6 d=1.03354 t=239061
yue shu 	約束	c=5 d=2.45687e-66 t=246674
yue tan 	約談	c=1 d=1.34026e-63 t=246674
yue xiao long 	岳小龍	c=4 d=1.07147e-217 t=246674
yue xie 	越寫	c=1 d=1.07558e-63 t=246674
yue yong 	越用	c=1 d=2.50513e-98 t=246674
yue yu 	越獄	c=5 d=6.63479e-233 t=246674
yue zu 	月租	c=2 d=2.1732e-176 t=246674
yue zu shao 	月租少	c=1 d=2.00366e-176 t=246674
yun 	孕	c=1 d=6.56611e-287 t=246674
yun 	暈	c=3 d=4.43393e-21 t=246674
yun 	運	c=1 d=9.41353e-84 t=246674
yun 	雲	c=31 d=0.0682212 t=246674
yun cun chu 	雲存儲	c=2 d=9.86118e-13 t=246674
yun dong 	運動	c=1 d=1 t=210979
yun dong hui 	運動會	c=7 d=1.2088e-25 t=246674
yun fu wu 	雲服務	c=1 d=1 t=240241
yun fu wu qi 	暈服務器	c=1 d=1 t=231012
yun ji shu 	雲技術	c=1 d=1 t=226407
yun ji suan 	雲計算	c=6 d=2.16016e-87 t=246674
yun le 	暈了	c=1 d=6.70489e-239 t=246674
yun mu 	韻母	c=1 d=7.84868e-199 t=246674
yun pan 	雲盤	c=1 d=8.1294e-182 t=246674
yun qi 	運氣	c=3 d=1 t=239945
yun shan 	雲杉	c=2 d=1.84602e-65 t=246674
yun shi 	隕石	c=2 d=1.7827 t=193567
yun suan 	運算	c=7 d=1.27069e-83 t=246674
yun suan fu 	運算符	c=16 d=3.85232e-213 t=246674
yun suan qi 	運算器	c=1 d=2.26859e-137 t=246674
yun suo 	雲鎖	c=2 d=1.99501 t=175324
